ENSMUSG00000000001	2276
ENSMUSG00000000003	0
ENSMUSG00000000028	85
ENSMUSG00000000031	18
ENSMUSG00000000037	21
ENSMUSG00000000049	1
ENSMUSG00000000056	422
ENSMUSG00000000058	6277
ENSMUSG00000000078	4403
ENSMUSG00000000085	829
ENSMUSG00000000088	1363
ENSMUSG00000000093	6232
ENSMUSG00000000094	1704
ENSMUSG00000000103	0
ENSMUSG00000000120	23
ENSMUSG00000000125	0
ENSMUSG00000000126	256
ENSMUSG00000000127	410
ENSMUSG00000000131	1294
ENSMUSG00000000134	969
ENSMUSG00000000142	734
ENSMUSG00000000148	429
ENSMUSG00000000149	2690
ENSMUSG00000000154	141
ENSMUSG00000000157	1
ENSMUSG00000000159	217
ENSMUSG00000000167	135
ENSMUSG00000000168	974
ENSMUSG00000000171	1510
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	3207
ENSMUSG00000000194	1537
ENSMUSG00000000197	22
ENSMUSG00000000202	3
ENSMUSG00000000204	40
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	3011
ENSMUSG00000000223	21
ENSMUSG00000000244	288
ENSMUSG00000000247	0
ENSMUSG00000000248	2
ENSMUSG00000000253	289
ENSMUSG00000000263	0
ENSMUSG00000000266	1521
ENSMUSG00000000275	2376
ENSMUSG00000000276	623
ENSMUSG00000000278	1118
ENSMUSG00000000282	692
ENSMUSG00000000290	2660
ENSMUSG00000000295	99
ENSMUSG00000000296	19
ENSMUSG00000000301	35
ENSMUSG00000000303	5203
ENSMUSG00000000305	119
ENSMUSG00000000308	316
ENSMUSG00000000317	672
ENSMUSG00000000318	231
ENSMUSG00000000320	175
ENSMUSG00000000325	69
ENSMUSG00000000326	251
ENSMUSG00000000339	480
ENSMUSG00000000340	445
ENSMUSG00000000346	5608
ENSMUSG00000000355	517
ENSMUSG00000000359	225
ENSMUSG00000000365	7
ENSMUSG00000000374	1318
ENSMUSG00000000378	843
ENSMUSG00000000381	0
ENSMUSG00000000384	449
ENSMUSG00000000385	1985
ENSMUSG00000000386	134
ENSMUSG00000000392	34
ENSMUSG00000000394	0
ENSMUSG00000000399	1271
ENSMUSG00000000402	1445
ENSMUSG00000000409	410
ENSMUSG00000000411	1
